pid,identifier,title,description,creator,contributor,publisher,source,_date,language,type,format,format_2,relation,coverage,subject,rights,order,layout,collection,thumbnail,full,manifest
obj0,MoRUS.FP.2021.001,SSEE SKWAT,Print of collage which depicts C-Squat at 155 Avenue C.,Fly,,,Fly Prints Collection,1994,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,0,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0/manifest.json
obj1,MoRUS.FP.2021.002,BULLET SPACE,Print of collage which depicts Bullet Space at 292 E. 3rd Street.,Fly,,,Fly Prints Collection,1994,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,1,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json
obj2,MoRUS.FP.2021.003,DOS BLOCOS R.I.P.,Print of collage which depicts Dos Blocos at 713 E. 9th Street.,Fly,,,Fly Prints Collection,1994,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,2,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json
obj3,MoRUS.FP.2021.004,UMBRELLA HAUS,Print of collage which depicts Umbrella House at 21-23 Avenue C.,Fly,,,Fly Prints Collection,1995,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,3,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj3/full/1140,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json
obj4,MoRUS.FP.2021.005,209,Print of collage which depicts 209 Squat at 209 E. 7th St.,Fly,,,Fly Prints Collection,1994,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,4,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj4/full/1140,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json
obj5,MoRUS.FP.2021.006,ABC NO RIO,Print of collage which depicts ABC No RIo at 156 Rivington St.,Fly,,,Fly Prints Collection,1994,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,5,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj5/full/1140,/0/default.jpg",/img/derivatives/iiif/obj5/manifest.json
obj6,MoRUS.FP.2021.007,SERENITY,Print of collage which depicts Serenity House at 9th St and Avenue D.,Fly,,,Fly Prints Collection,1994,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,6,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj6/full/1140,/0/default.jpg",/img/derivatives/iiif/obj6/manifest.json
obj7,MoRUS.FP.2021.008,FIFTH STREET R.I.P.,Print of collage which depicts 5th Street Squat at 537-539 E. 5th Street.,Fly,,,Fly Prints Collection,1994,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,7,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj7/full/1140,/0/default.jpg",/img/derivatives/iiif/obj7/manifest.json
obj8,MoRUS.FP.2021.009,10TH DOOR,Print of collage which depicts10th Door squat at 377 E. 10th St.,Fly,,,Fly Prints Collection,1995,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,8,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj8/full/1140,/0/default.jpg",/img/derivatives/iiif/obj8/manifest.json
obj9,MoRUS.FP.2021.010,GLASS HOUSE,Print of collage which depicts Glass House at 10th Street and Avenue D. ,Fly,,,Fly Prints Collection,1994,English,Print,Physical,TIFF,,Lower East Side,Squats,Subject to copyright by artist.,9,flyprints_item,flyprints,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj9/full/1140,/0/default.jpg",/img/derivatives/iiif/obj9/manifest.json
